part_id,timestamp,machine_id,operator,inspection_method,journal_diameter_mm,inspection_time_sec
CAM-IM-0001,2026-07-06 06:00,CNC-07,A. Muller,Digital gauge (direct data capture),26.0007,17.1
CAM-IM-0002,2026-07-06 06:05,CNC-07,A. Muller,Digital gauge (direct data capture),25.9981,22.8
CAM-IM-0003,2026-07-06 06:10,CNC-07,J. Becker,Digital gauge (direct data capture),26.0013,17.1
CAM-IM-0004,2026-07-06 06:15,CNC-07,A. Muller,Digital gauge (direct data capture),25.9968,14.9
CAM-IM-0005,2026-07-06 06:20,CNC-07,J. Becker,Digital gauge (direct data capture),25.9982,23.9
CAM-IM-0006,2026-07-06 06:25,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9992,17.2
CAM-IM-0007,2026-07-06 06:30,CNC-07,J. Becker,Digital gauge (direct data capture),26.0021,21.8
CAM-IM-0008,2026-07-06 06:35,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0028,18.5
CAM-IM-0009,2026-07-06 06:40,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9975,21.7
CAM-IM-0010,2026-07-06 06:45,CNC-07,J. Becker,Digital gauge (direct data capture),25.9964,17.7
CAM-IM-0011,2026-07-06 06:50,CNC-07,J. Becker,Digital gauge (direct data capture),26.0022,20.9
CAM-IM-0012,2026-07-06 06:55,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0004,24.7
CAM-IM-0013,2026-07-06 07:00,CNC-07,J. Becker,Digital gauge (direct data capture),26.0016,22.4
CAM-IM-0014,2026-07-06 07:05,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9998,17.9
CAM-IM-0015,2026-07-06 07:10,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0048,18.4
CAM-IM-0016,2026-07-06 07:15,CNC-07,J. Becker,Digital gauge (direct data capture),26.0026,20.2
CAM-IM-0017,2026-07-06 07:20,CNC-07,A. Muller,Digital gauge (direct data capture),25.9969,14.9
CAM-IM-0018,2026-07-06 07:25,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9947,23.7
CAM-IM-0019,2026-07-06 07:30,CNC-07,J. Becker,Digital gauge (direct data capture),25.9982,21.0
CAM-IM-0020,2026-07-06 07:35,CNC-07,A. Muller,Digital gauge (direct data capture),25.9948,17.7
CAM-IM-0021,2026-07-06 07:40,CNC-07,J. Becker,Digital gauge (direct data capture),25.9968,12.1
CAM-IM-0022,2026-07-06 07:45,CNC-07,J. Becker,Digital gauge (direct data capture),26.0,20.5
CAM-IM-0023,2026-07-06 07:50,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9972,18.3
CAM-IM-0024,2026-07-06 07:55,CNC-07,J. Becker,Digital gauge (direct data capture),26.0014,16.7
CAM-IM-0025,2026-07-06 08:00,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0045,18.1
CAM-IM-0026,2026-07-06 08:05,CNC-07,J. Becker,Digital gauge (direct data capture),26.0017,21.4
CAM-IM-0027,2026-07-06 08:10,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9993,24.3
CAM-IM-0028,2026-07-06 08:15,CNC-07,A. Muller,Digital gauge (direct data capture),26.001,16.9
CAM-IM-0029,2026-07-06 08:20,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9926,14.7
CAM-IM-0030,2026-07-06 08:25,CNC-07,J. Becker,Digital gauge (direct data capture),26.0006,19.3
CAM-IM-0031,2026-07-06 08:30,CNC-07,J. Becker,Digital gauge (direct data capture),26.001,16.9
CAM-IM-0032,2026-07-06 08:35,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0023,22.7
CAM-IM-0033,2026-07-06 08:40,CNC-07,A. Muller,Digital gauge (direct data capture),25.998,21.7
CAM-IM-0034,2026-07-06 08:45,CNC-07,A. Muller,Digital gauge (direct data capture),26.0011,22.6
CAM-IM-0035,2026-07-06 08:50,CNC-07,J. Becker,Digital gauge (direct data capture),25.9976,20.2
CAM-IM-0036,2026-07-06 08:55,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0032,26.6
CAM-IM-0037,2026-07-06 09:00,CNC-07,A. Muller,Digital gauge (direct data capture),26.0012,19.6
CAM-IM-0038,2026-07-06 09:05,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0024,20.5
CAM-IM-0039,2026-07-06 09:10,CNC-07,J. Becker,Digital gauge (direct data capture),25.9994,20.4
CAM-IM-0040,2026-07-06 09:15,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9986,23.1
CAM-IM-0041,2026-07-06 09:20,CNC-07,J. Becker,Digital gauge (direct data capture),25.9978,22.8
CAM-IM-0042,2026-07-06 09:25,CNC-07,J. Becker,Digital gauge (direct data capture),25.9992,20.0
CAM-IM-0043,2026-07-06 09:30,CNC-07,S. Kaya,Digital gauge (direct data capture),25.996,19.4
CAM-IM-0044,2026-07-06 09:35,CNC-07,J. Becker,Digital gauge (direct data capture),26.0002,15.7
CAM-IM-0045,2026-07-06 09:40,CNC-07,A. Muller,Digital gauge (direct data capture),25.9994,19.3
CAM-IM-0046,2026-07-06 09:45,CNC-07,A. Muller,Digital gauge (direct data capture),26.0055,22.3
CAM-IM-0047,2026-07-06 09:50,CNC-07,A. Muller,Digital gauge (direct data capture),26.0024,18.6
CAM-IM-0048,2026-07-06 09:55,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9941,21.7
CAM-IM-0049,2026-07-06 10:00,CNC-07,A. Muller,Digital gauge (direct data capture),26.0005,22.4
CAM-IM-0050,2026-07-06 10:05,CNC-07,A. Muller,Digital gauge (direct data capture),26.002,16.0
CAM-IM-0051,2026-07-06 10:10,CNC-07,S. Kaya,Digital gauge (direct data capture),25.995,16.5
CAM-IM-0052,2026-07-06 10:15,CNC-07,A. Muller,Digital gauge (direct data capture),26.0045,17.7
CAM-IM-0053,2026-07-06 10:20,CNC-07,A. Muller,Digital gauge (direct data capture),26.0015,16.9
CAM-IM-0054,2026-07-06 10:25,CNC-07,J. Becker,Digital gauge (direct data capture),25.9988,21.0
CAM-IM-0055,2026-07-06 10:30,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0029,15.3
CAM-IM-0056,2026-07-06 10:35,CNC-07,A. Muller,Digital gauge (direct data capture),25.9981,22.9
CAM-IM-0057,2026-07-06 10:40,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9976,19.0
CAM-IM-0058,2026-07-06 10:45,CNC-07,J. Becker,Digital gauge (direct data capture),26.005,17.5
CAM-IM-0059,2026-07-06 10:50,CNC-07,A. Muller,Digital gauge (direct data capture),25.9981,15.9
CAM-IM-0060,2026-07-06 10:55,CNC-07,J. Becker,Digital gauge (direct data capture),25.9992,24.1
CAM-IM-0061,2026-07-06 11:00,CNC-07,J. Becker,Digital gauge (direct data capture),26.0025,23.5
CAM-IM-0062,2026-07-06 11:05,CNC-07,J. Becker,Digital gauge (direct data capture),26.0016,19.3
CAM-IM-0063,2026-07-06 11:10,CNC-07,J. Becker,Digital gauge (direct data capture),25.9959,21.5
CAM-IM-0064,2026-07-06 11:15,CNC-07,J. Becker,Digital gauge (direct data capture),26.0017,19.0
CAM-IM-0065,2026-07-06 11:20,CNC-07,J. Becker,Digital gauge (direct data capture),26.0004,25.5
CAM-IM-0066,2026-07-06 11:25,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9985,19.0
CAM-IM-0067,2026-07-06 11:30,CNC-07,A. Muller,Digital gauge (direct data capture),26.0018,23.1
CAM-IM-0068,2026-07-06 11:35,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9938,16.7
CAM-IM-0069,2026-07-06 11:40,CNC-07,J. Becker,Digital gauge (direct data capture),26.0034,23.7
CAM-IM-0070,2026-07-06 11:45,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0014,19.8
CAM-IM-0071,2026-07-06 11:50,CNC-07,J. Becker,Digital gauge (direct data capture),25.9996,17.5
CAM-IM-0072,2026-07-06 11:55,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0031,17.9
CAM-IM-0073,2026-07-06 12:00,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9965,19.2
CAM-IM-0074,2026-07-06 12:05,CNC-07,A. Muller,Digital gauge (direct data capture),26.0034,27.3
CAM-IM-0075,2026-07-06 12:10,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9974,18.3
CAM-IM-0076,2026-07-06 12:15,CNC-07,S. Kaya,Digital gauge (direct data capture),26.0035,27.2
CAM-IM-0077,2026-07-06 12:20,CNC-07,S. Kaya,Digital gauge (direct data capture),25.9992,20.2
CAM-IM-0078,2026-07-06 12:25,CNC-07,J. Becker,Digital gauge (direct data capture),25.9986,22.9
CAM-IM-0079,2026-07-06 12:30,CNC-07,A. Muller,Digital gauge (direct data capture),26.0029,21.4
CAM-IM-0080,2026-07-06 12:35,CNC-07,J. Becker,Digital gauge (direct data capture),26.0004,21.4
