part_id,timestamp,machine_id,operator,inspection_method,bore_diameter_mm,inspection_time_sec
CON-IM-0001,2026-07-06 06:00,CNC-07,A. Muller,Digital gauge (direct data capture),21.9989,20.7
CON-IM-0002,2026-07-06 06:05,CNC-07,J. Becker,Digital gauge (direct data capture),22.0005,20.1
CON-IM-0003,2026-07-06 06:10,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9971,15.4
CON-IM-0004,2026-07-06 06:15,CNC-07,A. Muller,Digital gauge (direct data capture),22.0008,18.9
CON-IM-0005,2026-07-06 06:20,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9999,22.3
CON-IM-0006,2026-07-06 06:25,CNC-07,A. Muller,Digital gauge (direct data capture),22.0013,20.4
CON-IM-0007,2026-07-06 06:30,CNC-07,J. Becker,Digital gauge (direct data capture),22.0001,15.7
CON-IM-0008,2026-07-06 06:35,CNC-07,J. Becker,Digital gauge (direct data capture),22.0014,16.4
CON-IM-0009,2026-07-06 06:40,CNC-07,J. Becker,Digital gauge (direct data capture),22.0002,21.2
CON-IM-0010,2026-07-06 06:45,CNC-07,A. Muller,Digital gauge (direct data capture),21.9993,24.2
CON-IM-0011,2026-07-06 06:50,CNC-07,J. Becker,Digital gauge (direct data capture),21.9986,19.6
CON-IM-0012,2026-07-06 06:55,CNC-07,A. Muller,Digital gauge (direct data capture),22.003,16.4
CON-IM-0013,2026-07-06 07:00,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9986,18.6
CON-IM-0014,2026-07-06 07:05,CNC-07,A. Muller,Digital gauge (direct data capture),21.9961,16.2
CON-IM-0015,2026-07-06 07:10,CNC-07,A. Muller,Digital gauge (direct data capture),21.9999,24.9
CON-IM-0016,2026-07-06 07:15,CNC-07,J. Becker,Digital gauge (direct data capture),21.9997,26.8
CON-IM-0017,2026-07-06 07:20,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0027,22.2
CON-IM-0018,2026-07-06 07:25,CNC-07,A. Muller,Digital gauge (direct data capture),21.9949,24.6
CON-IM-0019,2026-07-06 07:30,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0044,14.6
CON-IM-0020,2026-07-06 07:35,CNC-07,J. Becker,Digital gauge (direct data capture),22.0028,22.2
CON-IM-0021,2026-07-06 07:40,CNC-07,J. Becker,Digital gauge (direct data capture),22.0049,23.0
CON-IM-0022,2026-07-06 07:45,CNC-07,A. Muller,Digital gauge (direct data capture),21.9979,20.0
CON-IM-0023,2026-07-06 07:50,CNC-07,A. Muller,Digital gauge (direct data capture),22.0007,18.6
CON-IM-0024,2026-07-06 07:55,CNC-07,J. Becker,Digital gauge (direct data capture),22.0031,22.0
CON-IM-0025,2026-07-06 08:00,CNC-07,A. Muller,Digital gauge (direct data capture),21.9975,16.3
CON-IM-0026,2026-07-06 08:05,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9985,21.7
CON-IM-0027,2026-07-06 08:10,CNC-07,J. Becker,Digital gauge (direct data capture),21.9989,18.2
CON-IM-0028,2026-07-06 08:15,CNC-07,A. Muller,Digital gauge (direct data capture),21.9961,25.8
CON-IM-0029,2026-07-06 08:20,CNC-07,A. Muller,Digital gauge (direct data capture),22.0036,17.0
CON-IM-0030,2026-07-06 08:25,CNC-07,A. Muller,Digital gauge (direct data capture),22.0021,20.4
CON-IM-0031,2026-07-06 08:30,CNC-07,J. Becker,Digital gauge (direct data capture),22.0012,18.8
CON-IM-0032,2026-07-06 08:35,CNC-07,A. Muller,Digital gauge (direct data capture),21.9989,20.8
CON-IM-0033,2026-07-06 08:40,CNC-07,J. Becker,Digital gauge (direct data capture),22.005,19.3
CON-IM-0034,2026-07-06 08:45,CNC-07,A. Muller,Digital gauge (direct data capture),22.0028,18.3
CON-IM-0035,2026-07-06 08:50,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0021,26.2
CON-IM-0036,2026-07-06 08:55,CNC-07,S. Kaya,Digital gauge (direct data capture),22.001,16.0
CON-IM-0037,2026-07-06 09:00,CNC-07,A. Muller,Digital gauge (direct data capture),21.9999,23.6
CON-IM-0038,2026-07-06 09:05,CNC-07,J. Becker,Digital gauge (direct data capture),21.9918,21.6
CON-IM-0039,2026-07-06 09:10,CNC-07,A. Muller,Digital gauge (direct data capture),22.0013,18.6
CON-IM-0040,2026-07-06 09:15,CNC-07,A. Muller,Digital gauge (direct data capture),21.9952,20.2
CON-IM-0041,2026-07-06 09:20,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9964,21.0
CON-IM-0042,2026-07-06 09:25,CNC-07,J. Becker,Digital gauge (direct data capture),22.001,17.7
CON-IM-0043,2026-07-06 09:30,CNC-07,J. Becker,Digital gauge (direct data capture),22.0009,24.1
CON-IM-0044,2026-07-06 09:35,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0003,16.7
CON-IM-0045,2026-07-06 09:40,CNC-07,A. Muller,Digital gauge (direct data capture),22.005,21.5
CON-IM-0046,2026-07-06 09:45,CNC-07,A. Muller,Digital gauge (direct data capture),21.9954,21.8
CON-IM-0047,2026-07-06 09:50,CNC-07,J. Becker,Digital gauge (direct data capture),22.0007,15.6
CON-IM-0048,2026-07-06 09:55,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0004,19.9
CON-IM-0049,2026-07-06 10:00,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9927,19.1
CON-IM-0050,2026-07-06 10:05,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0033,18.6
CON-IM-0051,2026-07-06 10:10,CNC-07,A. Muller,Digital gauge (direct data capture),21.9988,17.4
CON-IM-0052,2026-07-06 10:15,CNC-07,J. Becker,Digital gauge (direct data capture),21.9995,16.4
CON-IM-0053,2026-07-06 10:20,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0022,17.1
CON-IM-0054,2026-07-06 10:25,CNC-07,A. Muller,Digital gauge (direct data capture),21.9989,16.3
CON-IM-0055,2026-07-06 10:30,CNC-07,J. Becker,Digital gauge (direct data capture),22.0006,15.6
CON-IM-0056,2026-07-06 10:35,CNC-07,A. Muller,Digital gauge (direct data capture),22.0007,25.4
CON-IM-0057,2026-07-06 10:40,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9999,20.1
CON-IM-0058,2026-07-06 10:45,CNC-07,S. Kaya,Digital gauge (direct data capture),21.9955,20.9
CON-IM-0059,2026-07-06 10:50,CNC-07,A. Muller,Digital gauge (direct data capture),22.0019,22.7
CON-IM-0060,2026-07-06 10:55,CNC-07,A. Muller,Digital gauge (direct data capture),22.0,22.3
CON-IM-0061,2026-07-06 11:00,CNC-07,A. Muller,Digital gauge (direct data capture),22.0038,22.1
CON-IM-0062,2026-07-06 11:05,CNC-07,J. Becker,Digital gauge (direct data capture),21.9965,19.9
CON-IM-0063,2026-07-06 11:10,CNC-07,J. Becker,Digital gauge (direct data capture),22.0022,19.3
CON-IM-0064,2026-07-06 11:15,CNC-07,S. Kaya,Digital gauge (direct data capture),22.004,19.3
CON-IM-0065,2026-07-06 11:20,CNC-07,J. Becker,Digital gauge (direct data capture),21.9952,19.2
CON-IM-0066,2026-07-06 11:25,CNC-07,A. Muller,Digital gauge (direct data capture),21.9999,17.1
CON-IM-0067,2026-07-06 11:30,CNC-07,J. Becker,Digital gauge (direct data capture),21.9965,21.3
CON-IM-0068,2026-07-06 11:35,CNC-07,A. Muller,Digital gauge (direct data capture),22.0024,17.6
CON-IM-0069,2026-07-06 11:40,CNC-07,A. Muller,Digital gauge (direct data capture),21.9982,19.4
CON-IM-0070,2026-07-06 11:45,CNC-07,J. Becker,Digital gauge (direct data capture),22.0038,22.8
CON-IM-0071,2026-07-06 11:50,CNC-07,J. Becker,Digital gauge (direct data capture),22.002,18.7
CON-IM-0072,2026-07-06 11:55,CNC-07,J. Becker,Digital gauge (direct data capture),21.9983,17.5
CON-IM-0073,2026-07-06 12:00,CNC-07,A. Muller,Digital gauge (direct data capture),22.0018,20.0
CON-IM-0074,2026-07-06 12:05,CNC-07,S. Kaya,Digital gauge (direct data capture),21.999,17.4
CON-IM-0075,2026-07-06 12:10,CNC-07,S. Kaya,Digital gauge (direct data capture),22.0033,26.3
CON-IM-0076,2026-07-06 12:15,CNC-07,A. Muller,Digital gauge (direct data capture),22.0049,14.2
CON-IM-0077,2026-07-06 12:20,CNC-07,A. Muller,Digital gauge (direct data capture),21.9991,20.7
CON-IM-0078,2026-07-06 12:25,CNC-07,J. Becker,Digital gauge (direct data capture),22.0029,15.2
CON-IM-0079,2026-07-06 12:30,CNC-07,A. Muller,Digital gauge (direct data capture),21.9978,19.0
